# plugin	O-Octagon
# uiRoot	Source/ui/public
# generated	2026-08-27T22:00:31.444Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	652	span.cell-label		LABEL	no	tab-venue (reuses an existing entry)	Venue	prose survives the readout filter
html-text	index.html	660	th.vcol-head.vcol-label		LABEL	no	screen-venue.label	Label	prose survives the readout filter
html-text	index.html	664	th.vcol-head.vcol-num		LABEL	no	screen-venue.trim-db	Trim dB	prose survives the readout filter
html-text	index.html	671	th.vcol-head.vcol-num		UNSURE	no	screen-venue.delay	Delay	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	671	#vcol-delay-unit		UNIT	no	vcol-delay-unit	ms	unit symbol, language-neutral (D-03)
html-text	index.html	672	th.vcol-head.vcol-class		LABEL	no	screen-venue.class	Class	prose survives the readout filter
html-text	index.html	762	span.cell-label		LABEL	no	rake (reuses an existing entry)	Rake	prose survives the readout filter
html-text	index.html	763	span.cell-label.vrake-key		LABEL	no	scene-front (reuses an existing entry)	Front	prose survives the readout filter
html-text	index.html	765	span.cell-label.vrake-key		LABEL	no	scene-rear (reuses an existing entry)	Rear	prose survives the readout filter
html-text	index.html	778	span.cell-label		LABEL	no	screen-venue.delay-2	Delay	prose survives the readout filter
html-text	index.html	784	#btn-delay-ms		UNIT	no	btn-delay-ms	ms	unit symbol, language-neutral (D-03)
html-text	index.html	787	#btn-delay-derive		LABEL	no	btn-delay-derive	Derive	prose survives the readout filter
html-text	index.html	797	span.cell-label		LABEL	no	venue-rail.set	Set	prose survives the readout filter
html-text	index.html	824	h3.group-title		LABEL	no	venue-rail.venue-file	Venue file	prose survives the readout filter
html-text	index.html	826	#btn-venue-save		LABEL	no	btn-venue-save	Save	prose survives the readout filter
html-text	index.html	827	#btn-venue-load		LABEL	no	btn-venue-load	Load	prose survives the readout filter
html-text	index.html	837	h3.group-title		LABEL	no	preset-list (reuses an existing entry)	Preset	prose survives the readout filter
html-text	index.html	840	#btn-preset-save		LABEL	no	btn-preset-save	Save	prose survives the readout filter
html-text	index.html	841	#btn-preset-load		LABEL	no	btn-preset-load	Load	prose survives the readout filter
html-text	index.html	854	h3.group-title		LABEL	no	venue-rail.output-order	Output order	prose survives the readout filter
html-text	index.html	856	#btn-oo-direct		LABEL	no	oo-direct (reuses an existing entry)	Direct 1–8	prose survives the readout filter
html-text	index.html	857	#btn-oo-roles		LABEL	no	oo-roles (reuses an existing entry)	Roles	prose survives the readout filter
html-text	index.html	867	h3.group-title		LABEL	no	venue-rail.ping	Ping	prose survives the readout filter
html-text	index.html	879	#btn-ping-auto		LABEL	no	btn-ping-auto	Auto	prose survives the readout filter
html-text	index.html	880	#btn-ping-stop		LABEL	no	ping-stop (reuses an existing entry)	Stop	prose survives the readout filter
html-text	index.html	900	h3.group-title		LABEL	no	venue-rail.monitor	Monitor	prose survives the readout filter
html-text	index.html	903	#monitor-toggle		LABEL	no	monitor-toggle	Headphones	prose survives the readout filter
html-text	index.html	924	#readout-label-source		LABEL	no	puck (reuses an existing entry)	Source	prose survives the readout filter
html-text	index.html	926	#readout-label-envelope		LABEL	no	readout-envelope (reuses an existing entry)	Envelope	prose survives the readout filter
html-attr	index.html	73	nav.screens	aria-label	LABEL	no	screens.screen-aria-label	Screen	prose survives the readout filter
html-attr	index.html	99	#gear-btn	aria-label	LABEL	no	gear-btn	Settings	prose survives the readout filter
html-attr	index.html	103	#settings-popover	aria-label	LABEL	no	settings-popover	Settings	prose survives the readout filter
html-attr	index.html	116	#lang-select	aria-label	LABEL	no	lang-select	Hover help language	prose survives the readout filter
html-attr	index.html	138	#tips-toggle	aria-label	LABEL	no	tips-toggle	Hover help	prose survives the readout filter
html-attr	index.html	268	#puck	aria-label	LABEL	no	puck	Source position	prose survives the readout filter
html-attr	index.html	281	#ctl-w1	aria-label	LABEL	no	ctl-w1	Weight 1	prose survives the readout filter
html-attr	index.html	282	#ctl-w2	aria-label	LABEL	no	ctl-w2	Weight 2	prose survives the readout filter
html-attr	index.html	283	#ctl-w3	aria-label	LABEL	no	ctl-w3	Weight 3	prose survives the readout filter
html-attr	index.html	284	#ctl-w4	aria-label	LABEL	no	ctl-w4	Weight 4	prose survives the readout filter
html-attr	index.html	285	#ctl-w5	aria-label	LABEL	no	ctl-w5	Weight 5	prose survives the readout filter
html-attr	index.html	286	#ctl-w6	aria-label	LABEL	no	ctl-w6	Weight 6	prose survives the readout filter
html-attr	index.html	287	#ctl-w7	aria-label	LABEL	no	ctl-w7	Weight 7	prose survives the readout filter
html-attr	index.html	288	#ctl-w8	aria-label	LABEL	no	ctl-w8	Weight 8	prose survives the readout filter
html-attr	index.html	365	div.group-head.group-tabs	aria-label	LABEL	no	group-position.position-or-motion-aria	Position or Motion	prose survives the readout filter
html-attr	index.html	375	#ctl-srcX	aria-label	LABEL	no	ctl-srcX	Source X	prose survives the readout filter
html-attr	index.html	380	#ctl-srcY	aria-label	LABEL	no	ctl-srcY	Source Y	prose survives the readout filter
html-attr	index.html	385	#ctl-srcZ	aria-label	LABEL	no	ctl-srcZ	Source Z	prose survives the readout filter
html-attr	index.html	390	#ctl-width	aria-label	LABEL	no	ctl-width	Width	prose survives the readout filter
html-attr	index.html	408	#ctl-decorr	aria-label	LABEL	no	ctl-decorr	Decorrelate	prose survives the readout filter
html-attr	index.html	415	#ctl-motionOn	aria-label	LABEL	no	ctl-motionOn	Motion On	prose survives the readout filter
html-attr	index.html	420	#ctl-motionPath	aria-label	LABEL	no	ctl-motionPath	Motion Path	prose survives the readout filter
html-attr	index.html	425	#ctl-motionSync	aria-label	LABEL	no	ctl-motionSync	Motion Sync	prose survives the readout filter
html-attr	index.html	430	#ctl-motionRate	aria-label	LABEL	no	ctl-motionRate	Motion Rate	prose survives the readout filter
html-attr	index.html	435	#ctl-motionSize	aria-label	LABEL	no	ctl-motionSize	Motion Size	prose survives the readout filter
html-attr	index.html	440	#ctl-motionRatio	aria-label	LABEL	no	ctl-motionRatio	Motion Ratio	prose survives the readout filter
html-attr	index.html	445	#ctl-motionAngle	aria-label	LABEL	no	ctl-motionAngle	Motion Angle	prose survives the readout filter
html-attr	index.html	450	#ctl-motionHeight	aria-label	LABEL	no	ctl-motionHeight	Motion Height	prose survives the readout filter
html-attr	index.html	455	#ctl-motionPhase	aria-label	LABEL	no	ctl-motionPhase	Motion Phase	prose survives the readout filter
html-attr	index.html	460	#ctl-motionSeed	aria-label	LABEL	no	ctl-motionSeed	Motion Seed	prose survives the readout filter
html-attr	index.html	471	#ctl-rolloff	aria-label	LABEL	no	ctl-rolloff	Rolloff	prose survives the readout filter
html-attr	index.html	476	#ctl-blur	aria-label	LABEL	no	ctl-blur	Blur	prose survives the readout filter
html-attr	index.html	487	#ctl-hullAtten	aria-label	LABEL	no	ctl-hullAtten	Hull Atten	prose survives the readout filter
html-attr	index.html	492	#ctl-airAmount	aria-label	LABEL	no	ctl-airAmount	Air	prose survives the readout filter
html-attr	index.html	503	#ctl-outputGain	aria-label	LABEL	no	ctl-outputGain	Output	prose survives the readout filter
html-attr	index.html	544	#btn-scene-store	aria-label	LABEL	no	btn-scene-store-2	Arm store	prose survives the readout filter
html-attr	index.html	546	#scene-row	aria-label	LABEL	no	scene-row	Weight scenes	prose survives the readout filter
html-attr	index.html	678	#vf-label-1	aria-label	LABEL	no	vf-label-1	Speaker 1 channel label	prose survives the readout filter
html-attr	index.html	679	#vf-1-x	aria-label	LABEL	no	vf-1-x	Speaker 1 X metres	prose survives the readout filter
html-attr	index.html	680	#vf-1-y	aria-label	LABEL	no	vf-1-y	Speaker 1 Y metres	prose survives the readout filter
html-attr	index.html	681	#vf-1-z	aria-label	LABEL	no	vf-1-z	Speaker 1 Z metres	prose survives the readout filter
html-attr	index.html	682	#vf-1-trim	aria-label	LABEL	no	vf-1-trim	Speaker 1 trim dB	prose survives the readout filter
html-attr	index.html	683	#vf-1-delay	aria-label	LABEL	no	vf-1-delay	Speaker 1 alignment delay	prose survives the readout filter
html-attr	index.html	688	#vf-label-2	aria-label	LABEL	no	vf-label-2	Speaker 2 channel label	prose survives the readout filter
html-attr	index.html	689	#vf-2-x	aria-label	LABEL	no	vf-2-x	Speaker 2 X metres	prose survives the readout filter
html-attr	index.html	690	#vf-2-y	aria-label	LABEL	no	vf-2-y	Speaker 2 Y metres	prose survives the readout filter
html-attr	index.html	691	#vf-2-z	aria-label	LABEL	no	vf-2-z	Speaker 2 Z metres	prose survives the readout filter
html-attr	index.html	692	#vf-2-trim	aria-label	LABEL	no	vf-2-trim	Speaker 2 trim dB	prose survives the readout filter
html-attr	index.html	693	#vf-2-delay	aria-label	LABEL	no	vf-2-delay	Speaker 2 alignment delay	prose survives the readout filter
html-attr	index.html	698	#vf-label-3	aria-label	LABEL	no	vf-label-3	Speaker 3 channel label	prose survives the readout filter
html-attr	index.html	699	#vf-3-x	aria-label	LABEL	no	vf-3-x	Speaker 3 X metres	prose survives the readout filter
html-attr	index.html	700	#vf-3-y	aria-label	LABEL	no	vf-3-y	Speaker 3 Y metres	prose survives the readout filter
html-attr	index.html	701	#vf-3-z	aria-label	LABEL	no	vf-3-z	Speaker 3 Z metres	prose survives the readout filter
html-attr	index.html	702	#vf-3-trim	aria-label	LABEL	no	vf-3-trim	Speaker 3 trim dB	prose survives the readout filter
