# plugin	O-MicrotonalSampler
# uiRoot	Resources/ui
# generated	2026-08-30T05:56:25.021Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	280	div.loop-editor-placeholder		LABEL	no	loop-editor-panel.select-a-loaded-sample	Select a loaded sample slot to edit loop points	prose survives the readout filter
html-text	index.html	299	span		UNSURE	no	loop-editor-panel.loop-start	Loop start:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	299	span		UNIT	no	loop-editor-panel.ms	ms	unit symbol, language-neutral (D-03)
html-text	index.html	301	span		UNSURE	no	loop-editor-panel.loop-end	Loop end:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	301	span		UNIT	no	loop-editor-panel.ms-2	ms	unit symbol, language-neutral (D-03)
html-text	index.html	303	span		UNSURE	no	loop-editor-panel.mode	Mode:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	306	#loop-reset		LABEL	no	loop-reset	Reset to auto-detect	prose survives the readout filter
html-text	index.html	307	#loop-cancel		LABEL	no	loop-cancel	Cancel	prose survives the readout filter
html-text	index.html	308	#loop-apply		LABEL	no	loop-apply	Apply	prose survives the readout filter
html-text	index.html	320	#confirm-dialog-title		LABEL	no	confirm-dialog-title	Are you sure?	prose survives the readout filter
html-text	index.html	323	#confirm-cancel-btn		LABEL	no	confirm-cancel-btn	Cancel	prose survives the readout filter
html-text	index.html	324	#confirm-confirm-btn		LABEL	no	confirm-confirm-btn	Confirm	prose survives the readout filter
html-text	index.html	336	#batch-loop-title		LABEL	no	batch-loop-title	Batch loop points	prose survives the readout filter
html-text	index.html	337	p.confirm-dialog-message		LABEL	no	batch-loop-dialog.apply-one-loop-region	Apply one loop region to every loaded sample at once. One-shot samples (too short to loop) are left untouched.	prose survives the readout filter
html-text	index.html	343	span.bl-label		LABEL	no	batch-loop-dialog.units	Units	prose survives the readout filter
html-text	index.html	347	span		LABEL	no	batch-loop-dialog.proportional	Proportional (%)	prose survives the readout filter
html-text	index.html	351	span		LABEL	no	batch-loop-dialog.milliseconds	Milliseconds	prose survives the readout filter
html-text	index.html	357	label.bl-label		LABEL	no	batch-loop-dialog.loop-start	Loop start	prose survives the readout filter
html-text	index.html	363	label.bl-label		LABEL	no	batch-loop-dialog.loop-end	Loop end	prose survives the readout filter
html-text	index.html	371	#bl-cancel-btn		LABEL	no	bl-cancel-btn	Cancel	prose survives the readout filter
html-text	index.html	372	#bl-apply-btn		LABEL	no	bl-apply-btn	Apply to all	prose survives the readout filter
html-text	index.html	384	#diagnostic-dialog-title		LABEL	no	diagnostic-dialog-title	Diagnostic	prose survives the readout filter
