# plugin	O-Prism
# uiRoot	Source/ui/public
# generated	2026-08-30T20:55:40.643Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	1079	option		LABEL	no	select-oscbtable.choir-pad	Choir Pad	prose survives the readout filter
html-text	index.html	1080	option		LABEL	no	select-oscbtable.vocal-lead	Vocal Lead	prose survives the readout filter
html-text	index.html	1080	option		LABEL	no	select-oscbtable.formant-filter	Formant Filter	prose survives the readout filter
html-text	index.html	1083	option		LABEL	no	select-oscbtable.harmonic-series	Harmonic Series	prose survives the readout filter
html-text	index.html	1083	option		LABEL	no	select-oscbtable.spectral-tilt	Spectral Tilt	prose survives the readout filter
html-text	index.html	1084	option		LABEL	no	select-oscbtable.odd-harmonics	Odd Harmonics	prose survives the readout filter
html-text	index.html	1084	option		LABEL	no	select-oscbtable.harmonic-stretch	Harmonic Stretch	prose survives the readout filter
html-text	index.html	1085	option		LABEL	no	select-oscbtable.comb-sweep	Comb Sweep	prose survives the readout filter
html-text	index.html	1085	option		LABEL	no	select-oscbtable.prism-spectrum	Prism Spectrum	prose survives the readout filter
html-text	index.html	1088	option		LABEL	no	select-oscbtable.breath	Breath	prose survives the readout filter
html-text	index.html	1088	option		LABEL	no	select-oscbtable.plucked-string	Plucked String	prose survives the readout filter
html-text	index.html	1089	option		LABEL	no	select-oscbtable.church-bell	Church Bell	prose survives the readout filter
html-text	index.html	1089	option		LABEL	no	select-oscbtable.organ-sweep	Organ Sweep	prose survives the readout filter
html-text	index.html	1090	option		LABEL	no	select-oscbtable.wind	Wind	prose survives the readout filter
html-text	index.html	1090	option		LABEL	no	select-oscbtable.filtered-noise	Filtered Noise	prose survives the readout filter
html-text	index.html	1104	span.dropdown-label		LABEL	no	synth-tab.warp-2	Warp	prose survives the readout filter
html-text	index.html	1106	option		LABEL	no	select-oscbwarptype.off	Off	prose survives the readout filter
html-text	index.html	1106	option		LABEL	no	select-oscbwarptype.sync	Sync	prose survives the readout filter
html-text	index.html	1106	option		LABEL	no	select-oscbwarptype.bend	Bend	prose survives the readout filter
html-text	index.html	1106	option		LABEL	no	select-oscbwarptype.fm	FM	prose survives the readout filter
html-text	index.html	1106	option		LABEL	no	select-oscbwarptype.window	Window	prose survives the readout filter
html-text	index.html	1116	div.section-header		LABEL	no	synth-tab.sub-oscillator	Sub Oscillator	prose survives the readout filter
html-text	index.html	1119	span.dropdown-label		LABEL	no	synth-tab.shape-3	Shape	prose survives the readout filter
html-text	index.html	1121	option		LABEL	no	select-subshape.sine	Sine	prose survives the readout filter
html-text	index.html	1121	option		LABEL	no	select-subshape.triangle	Triangle	prose survives the readout filter
