# plugin	O-Prism
# params	173
# note	defaultNorm is NORMALISED 0..1; numSteps 2147483647 means continuous
#id	name	label	numSteps	textAtMin	textAtMax	defaultNorm	defaultText	flags
distType	Distortion Type		4	SoftClip	Fold	0.000000	SoftClip	automatable,discrete
distDrive	Distortion Drive		2147483647	0.000	1.000	0.000000	0.000	automatable
distMix	Distortion Mix		2147483647	0.000	1.000	0.000000	0.000	automatable
eqBypass	EQ Bypass		2	Off	On	0.000000	Off	automatable,discrete,boolean
eqLowGain	EQ Low Gain		2147483647	-12.0	12.0	0.500000	0.0	automatable
eqMidGain	EQ Mid Gain		2147483647	-12.0	12.0	0.500000	0.0	automatable
eqMidFreq	EQ Mid Freq		2147483647	200.0	8000.0	0.450659	1000.0	automatable
eqHighGain	EQ High Gain		2147483647	-12.0	12.0	0.500000	0.0	automatable
lfo1Rate	LFO 1 Rate		2147483647	0.01	20.00	0.349291	1.00	automatable
lfo1Shape	LFO 1 Shape		5	Sine	S&H	0.000000	Sine	automatable,discrete
lfo1Sync	LFO 1 Sync		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo1Division	LFO 1 Division		18	1/1	1/32T	0.117647	1/4	automatable,discrete
lfo1FreeRun	LFO 1 Free Run		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo2Rate	LFO 2 Rate		2147483647	0.01	20.00	0.349291	1.00	automatable
lfo2Shape	LFO 2 Shape		5	Sine	S&H	0.000000	Sine	automatable,discrete
lfo2Sync	LFO 2 Sync		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo2Division	LFO 2 Division		18	1/1	1/32T	0.117647	1/4	automatable,discrete
lfo2FreeRun	LFO 2 Free Run		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo3Rate	LFO 3 Rate		2147483647	0.01	20.00	0.349291	1.00	automatable
lfo3Shape	LFO 3 Shape		5	Sine	S&H	0.000000	Sine	automatable,discrete
lfo3Sync	LFO 3 Sync		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo3Division	LFO 3 Division		18	1/1	1/32T	0.117647	1/4	automatable,discrete
lfo3FreeRun	LFO 3 Free Run		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo4Rate	LFO 4 Rate		2147483647	0.01	20.00	0.349291	1.00	automatable
lfo4Shape	LFO 4 Shape		5	Sine	S&H	0.000000	Sine	automatable,discrete
lfo4Sync	LFO 4 Sync		2	Off	On	0.000000	Off	automatable,discrete,boolean
lfo4Division	LFO 4 Division		18	1/1	1/32T	0.117647	1/4	automatable,discrete
lfo4FreeRun	LFO 4 Free Run		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot0Src	Mod 1 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot0Dst	Mod 1 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot0Amt	Mod 1 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot0On	Mod 1 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot1Src	Mod 2 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot1Dst	Mod 2 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot1Amt	Mod 2 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot1On	Mod 2 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot2Src	Mod 3 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot2Dst	Mod 3 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot2Amt	Mod 3 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot2On	Mod 3 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot3Src	Mod 4 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot3Dst	Mod 4 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot3Amt	Mod 4 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot3On	Mod 4 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot4Src	Mod 5 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot4Dst	Mod 5 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot4Amt	Mod 5 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot4On	Mod 5 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot5Src	Mod 6 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot5Dst	Mod 6 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot5Amt	Mod 6 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot5On	Mod 6 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot6Src	Mod 7 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot6Dst	Mod 7 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot6Amt	Mod 7 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot6On	Mod 7 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot7Src	Mod 8 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot7Dst	Mod 8 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot7Amt	Mod 8 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot7On	Mod 8 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot8Src	Mod 9 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot8Dst	Mod 9 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot8Amt	Mod 9 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot8On	Mod 9 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot9Src	Mod 10 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot9Dst	Mod 10 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot9Amt	Mod 10 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot9On	Mod 10 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot10Src	Mod 11 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot10Dst	Mod 11 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot10Amt	Mod 11 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot10On	Mod 11 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot11Src	Mod 12 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot11Dst	Mod 12 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot11Amt	Mod 12 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot11On	Mod 12 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot12Src	Mod 13 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot12Dst	Mod 13 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot12Amt	Mod 13 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
