# plugin	O-GrainScatter
# uiRoot	Source/ui/public
# generated	2026-08-29T18:30:55.474Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	712	span.knob-name		LABEL	yes	spatial-group.distance	Distance	prose survives the readout filter
html-text	index.html	717	span.knob-name		LABEL	yes	spatial-group.width	Width	prose survives the readout filter
html-text	index.html	722	span.dropdown-name		LABEL	yes	spatial-group.trajectory-2	Trajectory	prose survives the readout filter
html-text	index.html	724	option		LABEL	no	spatial-group.static	Static	prose survives the readout filter
html-text	index.html	725	option		LABEL	no	spatial-group.orbital	Orbital	prose survives the readout filter
html-text	index.html	726	option		LABEL	no	spatial-group.spiral	Spiral	prose survives the readout filter
html-text	index.html	727	option		LABEL	no	spatial-group.random	Random	prose survives the readout filter
html-text	index.html	731	span.knob-name		LABEL	yes	spatial-group.traj-speed	Traj Speed	prose survives the readout filter
html-text	index.html	736	span.knob-name		LABEL	yes	spatial-group.dist-lpf	Dist LPF	prose survives the readout filter
html-text	index.html	741	span.knob-name		LABEL	yes	spatial-group.doppler	Doppler	prose survives the readout filter
html-text	index.html	746	span.knob-name		LABEL	yes	spatial-group.smoothing	Smoothing	prose survives the readout filter
html-text	index.html	748	span.knob-value		READOUT	no	spatial-group.5-ms	5 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	751	#spatial-hint		LABEL	yes	spatial-hint	Set Mode to Scatter or Trajectory to enable	prose survives the readout filter
html-attr	index.html	474	#gear-btn	aria-label	LABEL	yes	gear-btn	Settings	prose survives the readout filter
html-attr	index.html	477	#settings-popover	aria-label	LABEL	yes	settings-popover	Settings	prose survives the readout filter
html-attr	index.html	483	#lang-select	aria-label	LABEL	yes	lang-select	Interface language	prose survives the readout filter
