# plugin	O-Orbit
# uiRoot	Resources/ui
# generated	2026-08-28T03:25:09.581Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
js-prose	js/app.js	193	label.textContent		LABEL	no	ui.off	Off	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	201	label.textContent		LABEL	no	ui.on-2	On	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	201	label.textContent		LABEL	no	ui.off-2	Off	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	521	toggleBtn.textContent		LABEL	no	ui.speaker-editor	Speaker Editor	prose survives the readout filter
js-prose	js/app.js	528	toggleBtn.textContent		LABEL	no	ui.motion-view	Motion View	prose survives the readout filter
js-prose	js/app.js	913	layoutDeleteBtn.textContent		LABEL	no	ui.del	Del	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	922	layoutDeleteBtn.textContent		LABEL	no	ui.sure	Sure?	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	940	badge.textContent		LABEL	no	ui.ch-u2192	ch u2192 	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	940	badge.textContent		LABEL	no	ui.ch	ch	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	972	btn.textContent		LABEL	no	ui.del-2	Del	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	981	btn.textContent		LABEL	no	ui.sure-2	Sure?	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
